CustomerID,Age,Gender,Location,Income,PurchaseFrequency,Recency,TotalSpend,WebsiteVisits,CampaignResponse
C0001,56,Female,Urban,61773,8,142,6463.59,24,0
C0002,69,Male,Urban,63946,7,210,2986.23,19,0
C0003,46,Male,Rural,47646,3,72,1713.08,15,0
C0004,32,Male,Rural,53678,1,224,687.22,3,0
C0005,60,Male,Suburban,72315,10,27,6002.95,38,0
C0006,25,Male,Rural,84077,5,128,3456.82,15,0
C0007,38,Male,Suburban,57211,5,106,3025.9,13,0
C0008,56,Male,Suburban,50996,3,165,2082.6,18,0
C0009,36,Male,Urban,60010,4,215,1737.66,17,0
C0010,40,Female,Suburban,72024,2,71,2076.1,9,0
C0011,28,Female,Urban,31122,2,204,684.14,11,0
C0012,28,Female,Rural,20000,7,153,2088.98,28,0
C0013,41,Female,Suburban,48989,3,67,866.54,10,0
C0014,53,Female,Suburban,35585,1,90,222.96,8,1
C0015,57,Male,Urban,49837,3,260,1983.48,8,0
C0016,41,Female,Urban,57044,7,362,5449.58,23,0
C0017,20,Female,Urban,50935,5,228,2407.85,6,0
C0018,39,Female,Urban,89049,5,79,5405.59,10,0
C0019,19,Male,Urban,66534,4,96,3639.56,10,0
C0020,41,Male,Rural,66009,5,349,1792.57,21,0
C0021,61,Male,Suburban,72444,5,330,3890.06,15,0
C0022,47,Male,Urban,37223,3,246,1511.42,10,0
C0023,55,Female,Urban,80782,3,272,2176.64,12,0
C0024,19,Female,Urban,58484,6,157,2815.6,28,0
C0025,38,Male,Suburban,73409,6,116,5706.99,23,0
C0026,50,Other,Suburban,38562,4,18,1289.18,10,0
C0027,29,Female,Rural,28924,9,172,1309.84,24,0
C0028,39,Male,Urban,76357,6,16,6686.92,7,0
C0029,61,Male,Rural,67528,5,240,3687.44,16,0
C0030,42,Male,Rural,41958,5,56,2768.22,11,1
C0031,66,Male,Urban,42606,4,79,2258.63,12,0
C0032,44,Male,Rural,82508,10,103,4673.34,46,0
C0033,59,Male,Urban,36211,6,284,1457.55,20,0
C0034,45,Male,Rural,92853,2,193,1506.3,11,0
C0035,33,Male,Urban,41987,4,5,1378.35,16,0
C0036,32,Female,Rural,72767,3,106,2529.64,11,0
C0037,64,Male,Rural,53427,2,278,1200.11,16,0
C0038,68,Female,Rural,72063,5,100,3583.66,14,1
C0039,61,Male,Suburban,49117,6,238,2096.11,10,0
C0040,69,Other,Urban,56744,5,269,2502.36,27,1
C0041,20,Male,Urban,60818,10,321,6346.93,21,0
C0042,54,Male,Urban,39956,5,86,1933.84,22,0
C0043,68,Other,Urban,74816,5,320,2346.58,16,0
C0044,24,Female,Suburban,49735,4,32,2286.84,25,0
C0045,38,Female,Urban,55428,4,336,1270.52,7,0
C0046,26,Male,Rural,40113,3,51,1056.81,14,0
C0047,56,Male,Suburban,20000,6,79,1452.04,12,1
C0048,35,Female,Rural,56179,4,186,1168.58,16,1
C0049,21,Female,Urban,108252,2,174,2316.56,9,0
C0050,42,Female,Rural,75692,9,106,5684.99,27,0
C0051,31,Female,Rural,59614,5,63,1516.68,15,0
C0052,67,Male,Urban,54742,9,76,3401.37,41,0
C0053,26,Female,Suburban,60449,5,316,4355.19,29,0
C0054,43,Male,Suburban,70942,5,321,3622.12,15,1
C0055,19,Male,Urban,36383,1,81,544.74,7,0
C0056,37,Male,Suburban,82286,5,361,4216.4,22,0
C0057,45,Female,Urban,74307,8,128,6205.74,33,0
C0058,64,Male,Urban,74363,6,183,3979.21,26,0
C0059,24,Male,Urban,68769,2,243,1114.11,14,0
C0060,61,Female,Urban,60392,5,185,2269.37,12,0
C0061,25,Male,Urban,73457,5,220,3097.76,7,1
C0062,64,Female,Urban,71836,4,71,2758.07,16,0
C0063,52,Male,Rural,52919,6,342,2197.17,19,0
C0064,31,Female,Suburban,48527,5,154,1758.8,12,0
C0065,34,Female,Rural,62037,6,245,2871.86,13,1
C0066,53,Male,Urban,90980,5,140,4318.18,22,1
C0067,67,Male,Urban,35217,4,71,1623.95,21,0
C0068,57,Male,Suburban,30649,7,46,2909.52,13,0
C0069,21,Male,Urban,63295,5,47,2491.08,20,1
C0070,19,Other,Urban,61017,7,79,2920.33,19,0
C0071,23,Male,Suburban,63466,6,149,3346.62,7,0
C0072,59,Female,Urban,64879,4,130,3618.65,21,0
C0073,21,Male,Suburban,55535,8,127,2265.21,10,0
C0074,46,Female,Suburban,89797,4,119,4230.76,18,1
C0075,35,Female,Urban,27981,3,357,820.26,14,0
C0076,43,Female,Urban,43430,5,262,1435.46,18,0
C0077,61,Male,Suburban,57934,10,244,4756.51,22,0
C0078,51,Male,Urban,27136,6,103,1180.33,12,0
C0079,27,Male,Urban,56482,4,37,3112.91,15,0
C0080,53,Female,Rural,93229,3,142,2746.17,19,0
C0081,31,Female,Urban,60417,3,37,1926.87,10,0
C0082,48,Other,Suburban,64614,5,8,3533.38,22,0
C0083,65,Male,Rural,34796,2,231,793.08,10,1
C0084,32,Female,Urban,47672,6,333,2847.61,13,1
C0085,25,Female,Urban,52496,2,296,543.73,13,1
C0086,31,Male,Urban,53645,5,107,2238.93,19,0
C0087,40,Male,Urban,85632,2,348,1171.23,8,0
C0088,57,Female,Urban,71153,6,18,5038.24,24,1
C0089,38,Female,Suburban,37770,3,313,630.8,3,0
C0090,33,Female,Urban,64930,5,83,3453.64,21,0
C0091,62,Male,Suburban,69964,2,288,994.37,3,0
C0092,35,Female,Rural,82802,6,194,7198.04,19,1
C0093,64,Male,Rural,91610,6,215,4592.63,19,0
C0094,41,Male,Suburban,39698,7,281,2293.17,9,0
C0095,43,Male,Urban,43782,6,220,3739.12,26,0
C0096,42,Female,Suburban,34848,6,289,1918.06,24,0
C0097,62,Female,Suburban,55319,4,344,3236.96,20,1
C0098,58,Female,Urban,69327,4,194,1453.57,16,0
C0099,46,Male,Urban,79746,7,158,4501.19,16,0
C0100,32,Female,Rural,58480,5,104,3409.95,9,1
C0101,62,Male,Urban,53603,5,34,3727.71,13,0
C0102,18,Female,Urban,63035,8,102,3814.4,29,0
C0103,42,Male,Urban,43297,4,127,2477.42,9,0
C0104,24,Male,Urban,101790,2,214,2227.41,6,0
C0105,26,Male,Rural,27846,3,325,1086.84,13,1
C0106,41,Male,Suburban,63694,4,296,2285.87,17,0
C0107,18,Female,Suburban,100472,6,179,4293.25,18,1
C0108,61,Female,Urban,60135,9,80,7637.82,38,0
C0109,25,Male,Urban,56199,3,141,2416.22,10,0
C0110,41,Female,Urban,52851,5,31,2636.14,9,0
C0111,28,Male,Urban,56392,3,63,856.87,8,0
C0112,68,Female,Urban,87456,2,48,1066.58,10,0
C0113,34,Female,Suburban,20000,4,87,858.42,12,0
C0114,25,Female,Urban,90668,9,304,4274.08,45,0
C0115,52,Male,Suburban,31520,4,61,1130.83,12,0
C0116,52,Female,Urban,54666,5,334,2195.85,18,0
C0117,50,Female,Urban,51415,8,274,4994.86,33,0
C0118,22,Male,Urban,71771,8,284,3189.95,12,0
C0119,59,Male,Rural,28037,5,80,1386.05,11,0
C0120,56,Female,Rural,69243,3,180,2241.63,7,1
C0121,58,Female,Rural,100486,9,272,10104.49,27,0
C0122,45,Female,Urban,32736,2,77,592.62,13,0
C0123,24,Female,Urban,63794,8,221,4105.11,9,0
C0124,26,Female,Suburban,46760,7,282,3870.54,30,0
C0125,25,Male,Urban,68517,6,28,5539.88,19,1
C0126,29,Male,Rural,60382,9,361,6486.57,30,0
C0127,51,Male,Urban,47170,3,77,2026.57,12,1
C0128,50,Female,Urban,69757,6,164,5094.76,20,0
C0129,65,Male,Urban,96086,7,9,8505.85,18,1
C0130,40,Female,Urban,56181,7,175,2626.64,30,0
C0131,41,Female,Suburban,74395,5,307,3420.46,10,0
C0132,54,Female,Urban,34134,5,76,1681.19,8,0
C0133,52,Male,Urban,40871,1,245,309.1,6,0
C0134,61,Female,Urban,69448,7,122,5000.1,17,0
C0135,57,Male,Urban,89682,4,185,2836.79,14,0
C0136,39,Female,Suburban,67112,7,32,5578.69,34,0
C0137,44,Male,Rural,53738,5,250,2607.07,15,0
C0138,52,Male,Rural,59985,5,57,2875.7,18,0
C0139,18,Female,Suburban,34991,3,310,1557.42,10,1
C0140,52,Male,Urban,72090,5,144,3216.82,29,0
C0141,54,Male,Suburban,77646,5,318,3347.69,17,0
C0142,64,Female,Urban,50958,4,84,1668.58,15,1
C0143,31,Female,Urban,50599,3,56,2117.19,15,0
C0144,20,Female,Rural,65317,3,279,1953.09,12,0
C0145,18,Female,Urban,51265,5,273,2819.61,20,0
C0146,22,Female,Rural,58677,10,166,3994.84,35,1
C0147,43,Male,Urban,101994,2,158,2123.4,6,0
C0148,31,Male,Suburban,55059,5,249,2132.57,15,0
C0149,56,Male,Suburban,52833,3,186,1950.55,8,0
C0150,44,Female,Rural,47049,4,78,2507.77,18,0
C0151,26,Female,Suburban,74883,6,22,5458.12,25,0
C0152,32,Male,Suburban,56375,3,108,2080.65,13,0
C0153,32,Male,Urban,47012,4,273,1903.94,10,0
C0154,43,Female,Suburban,86426,4,252,4190.34,15,1
C0155,59,Male,Urban,88392,5,15,4077.91,9,0
C0156,30,Female,Suburban,47991,8,304,4420.89,34,0
C0157,68,Female,Suburban,22669,5,160,860.33,19,0
C0158,49,Female,Suburban,80150,6,205,2739.96,31,0
C0159,56,Male,Urban,46307,3,113,1269.01,19,0
C0160,66,Female,Urban,75812,4,168,2916.57,5,0
C0161,69,Female,Suburban,20597,5,353,778.99,10,0
C0162,49,Female,Urban,77851,6,253,5734.7,9,0
C0163,21,Female,Urban,35776,7,186,1436.35,22,1
C0164,47,Female,Urban,74615,5,347,2696.39,29,0
C0165,54,Female,Rural,60285,2,227,1505.39,7,0
C0166,40,Male,Suburban,40921,6,16,2300.88,13,0
C0167,56,Female,Urban,51859,4,156,2500.19,4,0
C0168,62,Female,Urban,73726,2,354,1574.03,13,0
C0169,32,Male,Urban,62117,4,111,3604.56,25,1
C0170,60,Female,Suburban,71688,2,1,1573.98,8,0
C0171,46,Female,Suburban,99528,3,41,1537.32,10,0
C0172,53,Female,Urban,28715,4,48,979.61,10,0
C0173,30,Male,Urban,92344,7,108,4156.8,22,0
C0174,49,Male,Urban,62087,5,161,4422.56,9,0
C0175,24,Other,Suburban,42024,5,161,1269.15,19,0
C0176,68,Female,Suburban,33393,7,359,2075.02,30,0
C0177,39,Male,Urban,56217,9,128,3673.72,19,0
C0178,45,Female,Urban,78433,7,210,7393.92,30,0
C0179,19,Female,Urban,57449,6,151,2787.08,10,0
C0180,59,Female,Rural,90223,6,255,8076.19,28,0
C0181,62,Female,Urban,30976,9,218,1501.58,27,0
C0182,23,Male,Suburban,59758,2,30,750.89,10,0
C0183,45,Male,Suburban,34952,3,45,759.83,7,0
C0184,45,Male,Urban,67272,9,80,7938.07,35,1
C0185,61,Female,Urban,77737,3,39,3214.85,18,0
C0186,61,Male,Urban,51584,8,240,2358.22,16,0
C0187,37,Male,Suburban,20000,5,45,532.46,22,0
C0188,47,Male,Suburban,63978,4,78,3184.97,4,0
C0189,28,Female,Suburban,68734,9,337,3917.95,44,0
C0190,45,Female,Suburban,68085,2,349,861.95,11,0
C0191,42,Male,Urban,84715,5,288,2212.61,5,1
C0192,56,Male,Rural,38578,10,280,2121.05,17,1
C0193,50,Female,Suburban,73604,5,116,2810.48,19,1
C0194,18,Male,Urban,83850,4,269,1895.03,14,0
C0195,44,Male,Rural,24428,7,335,1485.75,27,1
C0196,69,Male,Suburban,66393,3,312,2654.61,15,0
C0197,30,Male,Suburban,49916,6,53,2474.8,17,0
C0198,58,Male,Suburban,58369,3,68,2150.02,10,0
C0199,20,Female,Rural,66953,3,182,1192.92,17,0
C0200,56,Male,Suburban,50255,4,34,2330.58,9,0
C0201,23,Female,Urban,46485,1,284,379.66,10,0
C0202,25,Male,Urban,60683,2,306,1516.78,9,0
C0203,44,Female,Rural,38255,4,249,973.59,13,1
C0204,26,Female,Urban,38283,5,111,2675.76,6,0
C0205,54,Male,Urban,73587,8,94,4371.52,25,0
C0206,50,Female,Urban,37024,7,179,2211.06,12,0
C0207,68,Male,Urban,73326,7,47,7443.52,29,1
C0208,59,Other,Suburban,69251,2,282,1493.72,6,0
C0209,61,Male,Rural,25483,6,340,1323.75,18,0
C0210,41,Male,Urban,46448,8,362,5386.49,34,1
C0211,32,Male,Urban,83882,6,92,4172.68,21,0
C0212,49,Other,Urban,40376,4,212,960.74,21,0
C0213,49,Female,Rural,50711,4,75,3036.27,12,0
C0214,41,Female,Suburban,69241,4,202,2126.65,11,0
C0215,58,Male,Urban,75667,1,297,1022.46,11,1
C0216,69,Female,Rural,54969,6,308,2195.05,17,0
C0217,66,Male,Rural,48049,8,211,4733.23,37,1
C0218,66,Female,Rural,88447,7,338,6342.66,22,1
C0219,69,Male,Rural,94777,7,134,9824.91,26,0
C0220,29,Male,Urban,79577,6,330,5026.86,30,0
C0221,56,Male,Suburban,61706,6,66,1943.8,13,1
C0222,19,Male,Urban,43834,4,280,1935.5,19,0
C0223,20,Female,Rural,43391,3,28,840.03,11,0
C0224,66,Male,Suburban,70450,6,117,5488.93,33,0
C0225,54,Female,Suburban,68367,3,317,2782.33,14,0
C0226,66,Male,Suburban,88031,10,325,8645.47,39,1
C0227,34,Female,Urban,73009,5,114,4684.34,16,0
C0228,66,Male,Suburban,29938,6,75,1158.8,24,0
C0229,19,Male,Rural,81038,6,202,4823.76,12,1
C0230,19,Female,Rural,40038,4,59,1431.67,11,1
C0231,45,Male,Urban,52320,6,15,3488.65,15,0
C0232,40,Male,Urban,65004,5,231,1769.66,19,1
C0233,54,Female,Urban,99913,3,105,3753.1,11,0
C0234,49,Female,Suburban,122198,2,165,1415.37,10,0
C0235,50,Male,Rural,72134,3,199,2502.63,7,1
C0236,18,Male,Urban,56336,2,354,584.16,17,0
C0237,36,Female,Suburban,70690,8,35,7532.09,36,0
C0238,19,Male,Rural,77753,7,162,3672.19,28,0
C0239,61,Male,Suburban,53586,4,245,2176.66,18,0
C0240,43,Male,Suburban,95904,3,287,2190.91,8,1
C0241,49,Female,Suburban,64601,3,19,2369.53,12,0
C0242,23,Female,Suburban,69954,6,280,3447.41,18,0
C0243,49,Male,Urban,73318,5,340,4489.29,20,0
C0244,21,Male,Suburban,68431,1,348,537.1,9,1
C0245,28,Male,Suburban,76778,8,182,7692.99,35,0
C0246,34,Female,Rural,47654,9,147,2275.69,35,0
C0247,55,Male,Suburban,48833,4,176,1530.06,14,0
C0248,41,Male,Suburban,37996,7,163,2656.09,11,0
C0249,22,Female,Urban,68790,3,175,1124.84,12,0
C0250,69,Male,Urban,75578,7,47,3629.44,15,0
C0251,51,Female,Urban,69155,5,256,4960.27,14,1
C0252,23,Male,Urban,93489,6,174,8284.07,29,0
C0253,39,Male,Suburban,59888,8,103,5939.69,8,0
C0254,28,Male,Rural,73374,2,121,1103.84,9,0
C0255,65,Female,Urban,38165,4,350,1161.01,16,0
C0256,33,Female,Urban,52258,9,145,5388.9,12,0
C0257,50,Female,Rural,73910,4,42,1825.87,15,0
C0258,26,Male,Urban,76982,4,29,4459.75,8,0
C0259,23,Female,Suburban,54120,3,273,1176.81,7,0
C0260,33,Male,Suburban,58568,4,14,3513.23,25,0
C0261,46,Male,Suburban,29642,4,306,1180.62,23,0
C0262,20,Female,Urban,52859,6,313,4032.39,19,0
C0263,37,Male,Urban,77807,7,189,2735.14,28,0
C0264,53,Male,Suburban,71504,3,360,2979.03,16,0
C0265,36,Male,Suburban,70013,6,295,3234.61,22,1
C0266,43,Male,Urban,60995,8,183,5699.06,31,0
C0267,20,Male,Suburban,60141,7,352,5499.59,14,0
C0268,36,Female,Urban,46793,3,36,932.32,18,1
C0269,37,Male,Suburban,73976,4,37,2788.92,14,0
C0270,49,Female,Urban,68419,6,14,4079.84,26,1
C0271,24,Female,Rural,69840,8,123,4537.47,25,0
C0272,69,Male,Urban,49479,3,83,1457.29,11,0
C0273,58,Male,Urban,20000,4,159,654.04,11,0
C0274,50,Male,Urban,81943,3,329,2115.97,12,1
C0275,57,Female,Urban,50423,8,102,4716.89,14,0
C0276,56,Male,Rural,42744,1,337,484.12,13,0
C0277,35,Female,Rural,73869,3,83,1622.75,8,0
C0278,57,Male,Urban,52159,7,44,5102.39,23,0
C0279,18,Female,Urban,81198,5,68,5532.79,7,0
C0280,28,Male,Suburban,72340,9,48,6569.74,25,0
C0281,45,Male,Rural,73671,5,57,3437.68,23,0
C0282,42,Female,Suburban,32680,4,75,1146.23,17,0
C0283,67,Female,Urban,84238,5,22,5084.89,6,0
C0284,40,Male,Urban,65225,7,132,5349.53,30,0
C0285,48,Female,Suburban,52614,3,302,1098.87,21,0
C0286,47,Female,Urban,62867,6,267,4418.76,12,0
C0287,59,Female,Suburban,24475,7,287,1289.1,15,1
C0288,52,Female,Urban,68173,4,120,1414.07,21,0
C0289,24,Male,Suburban,39412,4,246,1890.53,12,0
C0290,33,Male,Urban,32946,4,56,1508.65,13,0
C0291,43,Male,Suburban,29552,3,38,807.49,4,0
C0292,65,Female,Urban,82253,4,245,3374.63,12,0
C0293,69,Female,Suburban,47414,2,21,1372.32,9,0
C0294,66,Male,Urban,90674,7,110,6951.43,16,0
